id,question,answer,type,level,supporting_facts,context
5a7613c15542994ccc9186bf,VIVA Media AG changed it's name in 2004. What does their new acronym stand for?,Gesellschaft mit beschränkter Haftung,bridge,hard,"{'title': array(['VIVA Media', 'Gesellschaft mit beschränkter Haftung'],
      dtype=object), 'sent_id': array([0, 0], dtype=int32)}","{'title': array(['Constantin Medien', 'VIVA Poland', 'Viva (UK and Ireland)',
       'Blic', 'Qontis', 'VIVA Media', 'ProSiebenSat.1 Media',
       'Gesellschaft mit beschränkter Haftung', 'Mix Megapol',
       'John M. Keller'], dtype=object), 'sentences': array([array(['Constantin Medien AG (formerly EM.Entertainment and EM.TV & Merchandising AG, then EM.TV AG, and finally em.sport media ag) is a German media group, based in Ismaning near Munich, active in the area of sports, film and event marketing to medium-sized media companies.'],
             dtype=object)                                                                                                                                                                                                                                                                   ,
       array(['VIVA Polska (earlier ""VIVApolska!"")',
              ' is a Polish 24h music and entertainment channel from Viacom International Media Networks Polska.',
              ' The channel was officially launched on June 10, 2000 by the German VIVA Media AG.'],
             dtype=object)                                                                                        ,
       array(['Viva (stylised as VIVA) is a music television channel in the United Kingdom and Ireland, owned by VIVA Media and thereby Viacom International Media Networks Europe.',
              ' The channel launched on 26 October 2009, replacing TMF.'],
             dtype=object)                                                                                                                                                           ,
       array(['Blic (Cyrillic: Блиц, ] ) is a daily middle-market tabloid newspaper in Serbia.',
              ' Founded in 1996, ""Blic"" is owned by Ringier Axel Springer Media AG, a joint venture between Ringier media corporation from Switzerland and Axel Springer AG from Germany.'],
             dtype=object)                                                                                                                                                                  ,
       array(['Qontis is a Switzerland based online personal finance management (PFM) platform.',
              ' The service is part of a commercial enterprise between the ""Neue Zürcher Zeitung"" media property and e-banking solutions provider Crealogix.',
              ' The platform provides users with the ability to document and organize data from all instances of private income and expenditures.',
              "" Qontis' CEO (chief executive officer) is Christian Bieri, who formerly served as the Austrian Country Manager and CEE for the Vienna branch of Avaloq Evolution AG."",
              "" The company's CMO (chief marketing officer) is Nils Reimelt, the former digital director at Ringier Axel Springer Media AG.""],
             dtype=object)                                                                                                                                                           ,
       array(['VIVA Media GmbH (until 2004 ""VIVA Media AG"") is a music television network originating from Germany.',
              ' It was founded for broadcast of VIVA Germany as VIVA Media AG in 1993 and has been owned by their original concurrent Viacom, the parent company of MTV, since 2004.',
              ' Viva channels exist in some European countries; the first spin-offs were launched in Poland and Switzerland in 2000.'],
             dtype=object)                                                                                                                                                            ,
       array(['ProSiebenSat.1 Media SE (officially abbreviated as P7S1, formerly ProSiebenSat.1 Media AG) is a European mass media company, based in Germany.',
              ' It operates free-to-air commercial TV channels, pay TV channels, radio stations and related print businesses.',
              ' It was formed on October 2, 2000 by the merger of German TV broadcasters ProSieben Media AG (founded in 1989) and Sat.1 SatellitenFernsehen GmbH (founded in 1984 as PKS (Programmgesellschaft für Kabel- und Satellitenrundfunk)).',
              ' The company is listed on the Frankfurt Stock Exchange and is a component of the DAX index.'],
             dtype=object)                                                                                                                                                                                                                           ,
       array(['A Gesellschaft mit beschränkter Haftung (] , abbreviated GmbH ] and also GesmbH in Austria) is a type of legal entity very common in Germany, Austria, Switzerland (where it is equivalent to a S.à r.l.) and Liechtenstein.',
              ' In the United States, the equivalent type of entity is the limited liability company (LLC).',
              ' The name of the GmbH form emphasizes the fact that the owners (""Gesellschafter"", also known as members) of the entity are not personally liable for the company\'s debts.',
              ' ""GmbH""s are considered legal persons under German and Austrian law.',
              ' Other variations include mbH (used when the term ""Gesellschaft"" is part of the company name itself), and gGmbH (""gemeinnützige"" GmbH) for non-profit companies.'],
             dtype=object)                                                                                                                                                                                                                   ,
       array(['Mix Megapol is a private Swedish radio network controlled by ProSiebenSat.1 Media AG.',
              ' It launched in 1993 under the name Skärgårdsradion (Archipelago Radio).',
              ' Later that year the name was changed to Radio Megapol when the broadcasting permissions were auctioned out.',
              ' In 1997 the word ""Mix"" was added and their slogan became ""The best mix of hits and oldies"".',
              ' Mix Megapol is on air in 24 cities from Kiruna in the north to Malmö in the south.',
              ' They have over two million listeners per week.',
              ' Their target group is people aged between 25 and 45.'],
             dtype=object)                                                                                                   ,
       array(['John M. Keller (born March 5, 1938) is an American educational psychologist.',
              ' He is best known for his work on motivation in educational settings and in particular the ARCS model of instructional design.',
              ' The four elements of the acronym stand for Attention, Relevance, Confidence and Satisfaction (ARCS).'],
             dtype=object)                                                                                                                     ],
      dtype=object)}"
5adf2fa35542993344016c11,Which of Jonny Craig and Pete Doherty has been a member of more bands ?,"Jonny"" Craig",comparison,hard,"{'title': array(['Jonny Craig', 'Jonny Craig', 'Pete Doherty', 'Pete Doherty'],
      dtype=object), 'sent_id': array([0, 2, 1, 2], dtype=int32)}","{'title': array(['Pete Doherty', 'Relativity (Emarosa album)', 'Jonny Craig',
       'Up the Shambles – Live in Manchester', 'The Libertines',
       'Paul Roundhill', 'Books of Albion', 'Dirty Pretty Things (band)',
       'Stalking Pete Doherty', 'The Greatest of All Lost Arts'],
      dtype=object), 'sentences': array([array(['Peter Doherty (born 12 March 1979) is an English musician, songwriter, actor, poet, writer, and artist.',
              ' He is best known for being co-frontman of the Libertines, which he formed with Carl Barât in 1997.',
              ' His other musical projects are indie band Babyshambles and Peter Doherty and the Puta Madres.'],
             dtype=object)                                                                                              ,
       array(['Relativity is the debut album by American post-hardcore band Emarosa released on July 8, 2008 through Rise Records.',
              ' ""Relativity"" was produced by Kris Crummett, producer of other bands such as Drop Dead, Gorgeous and Fear Before, whom Jonny Craig worked with on Dance Gavin Dance\'s debut album the year before.'],
             dtype=object)                                                                                                                                                                                           ,
       array(['Jonathan Monroe ""Jonny"" Craig (born March 26, 1986) is a Canadian-American singer and songwriter.',
              ' He is currently working as a solo musician.',
              ' He has been the lead vocalist for the bands Dance Gavin Dance, Emarosa, Ghost Runner on Third, Slaves, and westerHALTS.',
              ' As a solo artist, he has released one studio album, two EPs and a live album to date.',
              ' He was also a part of the supergroup Isles & Glaciers.',
              ' Craig possesses the vocal range of a baritenor and his distinct type of soul-based singing has earned him considerable acclaim.'],
             dtype=object)                                                                                                                        ,
       array(['Up the Shambles – Live in Manchester is a live DVD of the band Babyshambles.',
              ' The DVD was released without the bands prior knowledge according to bassist Drew McConnell.',
              ' The DVD was released around the time of the band\'s second album ""Shotters Nation"", but not only featured a much older version of the band, it was recorded prior to the release of the first album ""Down in Albion"".',
              "" The set list features not only songs on the band's debut but B-sides, unreleased songs and songs by Pete Doherty's former band The Libertines.""],
             dtype=object)                                                                                                                                                                                                             ,
       array(['The Libertines are an English rock band, formed in London in 1997 by frontmen Carl Barât (vocals/guitar) and Pete Doherty (vocals/guitar).',
              ' The band, centred on the songwriting partnership of Barât and Doherty, has also included John Hassall (bass) and Gary Powell (drums) for most of its recording career.',
              ' The band was part of the garage rock revival and spearheaded the movement in the UK.'],
             dtype=object)                                                                                                                                                              ,
       array(['Paul Nicholas Roundhill (born 25 March 1955 in London) is an English artist and writer based in the East End of London, England.',
              ' He is best known for his association with musician Pete Doherty, acting as his self-styled literary agent and previously running the website balachada.com (Bala Chadha being street slang for crack cocaine from the Bengali translation of ""good white""), which was closed by Doherty in May 2006.'],
             dtype=object)                                                                                                                                                                                                                                                                                             ,
       array(['The Books of Albion, or Journals: The Collected Writings of Peter Doherty, is an anthology of the poetry and diary entries of English musician and poet Pete Doherty.',
              ' He is also currently a member of the group Babyshambles but is most known for his time as front man of The Libertines.',
              ' The book has writings from 1999 up until 2007 and was released on the 30 May 2007 by Orion Books.'],
             dtype=object)                                                                                                                                                            ,
       array(['Dirty Pretty Things were an English band fronted by Carl Barât, a member of The Libertines.',
              ' The formation of the band was announced in September 2005, after a dispute between Barât and Pete Doherty led to the breakup of The Libertines in 2004.',
              ' Barât had worked with Vertigo Records and had previously revealed that his new project was with the label.',
              ' Didz Hammond announced he was leaving the Cooper Temple Clause to join the band alongside Libertines drummer Gary Powell and guitarist Anthony Rossomando, who had filled in for Doherty following his departure from The Libertines.',
              ' They played their first shows in October 2005 in Italy and Paris, France.',
              ' They announced their split on 1 October 2008 and played their final shows during November.'],
             dtype=object)                                                                                                                                                                                                                             ,
       array(['Stalking Pete Doherty is a rockumentary assembled from footage shot by Max Carlish, a BAFTA Award–winning film director.',
              ' As the title suggests, it is about both attempts by Carlish to interview Pete Doherty.'],
             dtype=object)                                                                                                               ,
       array(['The Greatest of All Lost Arts is the second album by the American post-hardcore band Lower Definition.',
              ' The album was recorded in early 2008 with producer Kris Crummett and was released on July 8.',
              ' The album contains 11 tracks, with Jonny Craig providing guest vocals on ""Pueblo Cicada"".',
              ' The band hand-picked Kris Crummett as their producer.',
              ' This album marks the last appearance by bassist Stefan Toler and founding member/drummer Valentino Arteaga.'],
             dtype=object)                                                                                                    ],
      dtype=object)}"
5adfdef9554299025d62a36b,Where was the first governor after the The Missouri Compromise from?,"Bath, Maine",bridge,hard,"{'title': array(['Maine gubernatorial election, 1820',
       'Maine gubernatorial election, 1820',
       'Maine gubernatorial election, 1820', 'William King (governor)'],
      dtype=object), 'sent_id': array([1, 2, 3, 0], dtype=int32)}","{'title': array(['Compromise of 1790', 'Anti-Nebraska movement',
       'History of the United States Republican Party',
       'William King (governor)', 'Henry Smith Lane',
       'Parallel 36°30′ north', 'Maine gubernatorial election, 1820',
       'Pottawatomie massacre', 'Missouri Compromise', 'Dred Scott'],
      dtype=object), 'sentences': array([array(['The Compromise of 1790 was a compromise between Alexander Hamilton on the one hand and Thomas Jefferson and James Madison whereby Hamilton won the decision for the national government to take over and pay the state debts, while Jefferson and Madison obtained the national capital (District of Columbia) for the South.',
              ' The compromise resolved the deadlock in Congress.',
              ' Southerners were blocking the assumption of state debts by the treasury, thereby destroying the Hamiltonian program for building a fiscally strong nation state.',
              ' Northerners rejected the proposal, much desired by Virginians, to locate the permanent national capital on the Virginia-Maryland border.',
              ' The compromise made possible the passage of the Residence and Funding (Assumption) Acts in July and August 1790.',
              ' Historian Jacob Cooke says it is, ""generally regarded as one of the most important bargains in American history, ranking just below the better known Missouri Compromise and the Compromise of 1850.""'],
             dtype=object)                                                                                                                                                                                                                                                                                                                    ,
       array([""The Anti-Nebraska movement was a political alignment in the United States formed in opposition to the Kansas-Nebraska Act of 1854 and to its repeal of the Missouri Compromise provision forbidding slavery in U.S. territories north of latitude 36° 30' N."",
              ' (At the time, the name ""Nebraska"" could loosely refer to areas west of the Missouri River.)'],
             dtype=object)                                                                                                                                                                                                                                                   ,
       array(['The Republican Party, also commonly called the GOP (for ""Grand Old Party""), is one of the world\'s oldest extant political parties.',
              ' It is the second oldest existing political party in the United States after its primary rival, the Democratic Party.',
              ' It emerged in 1854 to combat the Kansas–Nebraska Act, an act that dissolved the terms of the Missouri Compromise and allowed slave or free status to be decided in the territories by popular sovereignty.',
              ' The Party had almost no presence in the Southern United States, but by 1858 in the North it had enlisted former Whigs and former Free Soil Democrats to form majorities in nearly every Northern state.'],
             dtype=object)                                                                                                                                                                                                  ,
       array(['William King (February 9, 1768June 17, 1852) was an American merchant, shipbuilder, army officer, and statesman from Bath, Maine.',
              ' A proponent of statehood for Maine, he became its first governor when it separated from Massachusetts in 1820.'],
             dtype=object)                                                                                                                        ,
       array(['Henry Smith Lane (February 24, 1811 – June 19, 1881) was a United States Representative, Senator, and the 13th Governor of Indiana; he was by design the shortest-serving Governor of Indiana, having made plans to resign the office should his party take control of the Indiana General Assembly and elect him to the United States Senate.',
              ' He held that office for only two days, and was known for his opposition to slavery.',
              ' A Whig until the party collapsed, he supported compromise with the south.',
              ' He became an early leader in the Republican Party starting in 1856 serving as the president of the first party convention, delivering its keynote address, and was influential in the nomination of Abraham Lincoln.',
              ' With the repeal of the Missouri Compromise, he became a full-fledged'],
             dtype=object)                                                                                                                                                                                                                                                                                                                                     ,
       array(['The parallel 36°30′ north is a circle of latitude that is 36 and one-half degrees north of the equator of the Earth.',
              ' This parallel of latitude is particularly significant in the history of the United States as the line of the Missouri Compromise, which was used to divide the prospective slave and free states west of the Mississippi River, with the exception of Missouri, which is mostly north of this parallel.'],
             dtype=object)                                                                                                                                                                                                                                                                                                ,
       array(['The 1820 Maine gubernatorial election took place on April 3, 1820.',
              ' It was the first election for Governor of Maine, taking place after Maine separated from Massachusetts and was recognized as a state on March 15, 1820.',
              "" Maine's separation from Massachusetts came as a result of The Missouri Compromise."",
              ' This election saw the virtually unanimous election of William King, the man most chiefly responsible for the push for Maine statehood.',
              ' He had no opponents.'], dtype=object)                                                                                                                    ,
       array(['The Pottawatomie massacre occurred during the night of May 24 and the morning of May 25, 1856.',
              ' In reaction to the sacking of Lawrence, Kansas by pro-slavery forces, John Brown and a band of abolitionist settlers—some of them members of the Pottawatomie Rifles—killed five settlers north of Pottawatomie Creek in Franklin County, Kansas.',
              ' This was one of the many bloody episodes in Kansas preceding the American Civil War, which came to be known collectively as Bleeding Kansas.',
              ' Bleeding Kansas was largely brought about by the Missouri Compromise and the Kansas–Nebraska Act.'],
             dtype=object)                                                                                                                                                                                                                                         ,
       array(['The Missouri Compromise is the title generally attached to the legislation passed by the 16th United States Congress on May 8, 1820.',
              ' The measures provided for the admission of Maine as a state along with Missouri as a slave state, thus maintaining the balance of power between North and South.',
              ' As part of the compromise, slavery was prohibited North of the 36°30′ parallel, excluding Missouri.',
              ' President James Monroe signed the legislation on April 6, 1820.'],
             dtype=object)                                                                                                                                                        ,
       array(['Dred Scott (c. 1799 – September 17, 1858) was an enslaved African American man in the United States who unsuccessfully sued for his freedom and that of his wife and their two daughters in the ""Dred Scott v. Sandford"" case of 1857, popularly known as the ""Dred Scott Decision"".',
              ' Scott claimed that he and his wife should be granted their freedom because they had lived in Illinois and the Wisconsin Territory for four years, where slavery was illegal.',
              ' The United States Supreme Court decided 7–2 against Scott, finding that neither he nor any other person of African ancestry could claim citizenship in the United States, and therefore Scott could not bring suit in federal court under diversity of citizenship rules.',
              ' Moreover, Scott\'s temporary residence outside Missouri did not bring about his emancipation under the Missouri Compromise, which the court ruled unconstitutional as it would ""improperly deprive Scott\'s owner of his legal property"".'],
             dtype=object)                                                                                                                                                                                                                                                                           ],
      dtype=object)}"
5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,bridge,hard,"{'title': array(['Creature Comforts', 'Creature Comforts', 'Nick Park', 'Nick Park'],
      dtype=object), 'sent_id': array([0, 1, 0, 1], dtype=int32)}","{'title': array(['Creature Comforts', 'Tata Steel Zoological Park', 'Nick Park',
       'Wallace &amp; Gromit in Project Zoo',
       ""Wallace and Gromit's World of Invention"",
       'Exotic ungulate encephalopathy', 'Wallace and Gromit',
       ""Wallace &amp; Gromit's Musical Marvels"", 'Killing of Harambe',
       'Zoo Parade'], dtype=object), 'sentences': array([array(['Creature Comforts is a stop motion clay animation comedy mockumentary franchise originating in a 1989 British humorous animated short film of the same name.',
              ' The film matched animated zoo animals with a soundtrack of people talking about their homes, making it appear as if the animals were being interviewed about their living conditions.',
              ' It was created by Nick Park and Aardman Animations.',
              ' The film later became the basis of a series of television advertisements for the electricity boards in the United Kingdom, and in 2003, a television series in the same style was released.',
              ' An American version of the series was also made.'], dtype=object)                                                                                                                            ,
       array(['Tata Steel Zoological Park is situated in the corner most area of Jubilee Park.',
              ' This zoo is known for its Safari Park, which enables tourists to drive through the wooden area, where animals roam freely.',
              ' Tourists can also visit the Nature Education Centre in the zoo, which gives information about the zoo animals.'],
             dtype=object)                                                                                                                  ,
       array(['Nicholas Wulstan ""Nick"" Park, CBE (born 6 December 1958) is an English director, writer and animator best known as the creator of ""Wallace and Gromit"" and ""Shaun the Sheep"".',
              ' Park has been nominated for an Academy Award a total of six times, and won four with ""Creature Comforts"" (1989), ""The Wrong Trousers"" (1993), ""A Close Shave"" (1995), and """" (2005).'],
             dtype=object)                                                                                                                                                                             ,
       array([""Wallace & Gromit in Project Zoo is a platform video game, the first featuring Aardman Animations' characters Wallace & Gromit."",
              ' The game was developed by Frontier Developments for the PlayStation 2, Xbox (not compatible with Xbox 360), GameCube and Microsoft Windows.',
              ' The game features the voice of Wallace, Peter Sallis.'],
             dtype=object)                                                                                                                                   ,
       array([""Wallace and Gromit's World of Invention is a science-themed miniseries featuring the animated claymation characters Wallace and Gromit, made by Aardman and aired on BBC One."",
              ' The BBC said in a press statement that in the series, ""Wallace will take a light hearted and humorous look at the real-life inventors, contraptions, gadgets and inventions, with the silent help of Gromit.',
              ' The series aims to inspire a whole new generation of innovative minds by showing them real, but mind-boggling, machines and inventions from around the world that have influenced his illustrious inventing career.""'],
             dtype=object)                                                                                                                                                                                                             ,
       array(['Exotic ungulate encephalopathy is a transmissible spongiform encephalopathy (TSE), or prion disease, identified in infected organs of zoo animals.',
              ' This subgroup of the TSEs in captive animals was identified in zoo animals in Great Britain including species of greater kudu, nyala, gemsbok, the common eland, Arabian and Scimitar Oryx, an Ankole-Watusi cow, and an American bison.',
              ' Studies indicate that transmission likely occurred via the consumption of feed supplemented with meat and bone meal, although some animals died after the British ban on ground offal in animal feed.',
              ' All animals died during the 1990s, with the last death occurring in 1998.'],
             dtype=object)                                                                                                                                                                                                                                ,
       array(['Wallace and Gromit is a British clay animation comedy series created by Nick Park of Aardman Animations.',
              ' The series consists of four short films and a feature-length film.',
              ' The series centres on Wallace, a good-natured, eccentric, cheese-loving inventor, along with his companion Gromit, a silent yet loyal and intelligent anthropomorphic dog.',
              ' Wallace was originally voiced by veteran actor Peter Sallis, but as of 2011, this role has been passed on to Ben Whitehead.',
              ' Gromit remains silent, communicating only through means of facial expressions and body language.'],
             dtype=object)                                                                                                                                                                  ,
       array([""Wallace & Gromit's Musical Marvels (also known as Wallace & Gromit at the Proms) is the name of Prom 20 of the 2012 season of The BBC Proms, which features orchestral renditions of Julian Nott's theme from Wallace & Gromit and classical music set to scenes from the Wallace & Gromit films."",
              "" Wallace is performed by Ben Whitehead, the actor who performed Wallace in the episodic adventure game series, Wallace & Gromit's Grand Adventures."",
              ' Due to its popularity, it became a full touring show in 2013, premiering at The Plenary in Melbourne, Australia on 9 February 2013.'],
             dtype=object)                                                                                                                                                                                                                                                                                        ,
       array(['On May 28, 2016, a three-year-old boy climbed into a gorilla enclosure at the Cincinnati Zoo and Botanical Garden and was grabbed and dragged by Harambe, a 17-year-old Western lowland gorilla.',
              "" Fearing for the boy's life, a zoo worker shot and killed Harambe."",
              ' The incident was recorded on video and received broad international coverage and commentary, including controversy over the choice to kill Harambe.',
              ' A number of primatologists and conservationists wrote later that the zoo had no other choice under the circumstances, and that it highlighted the danger of zoo animals in close proximity to humans and the need for better standards of care.'],
             dtype=object)                                                                                                                                                                                                                                        ,
       array(['Zoo Parade is an American television program broadcast from 1950 to 1957 that featured animals from the Lincoln Park Zoo in Chicago.',
              "" The program's host was Marlin Perkins, the Zoo's director."",
              ' Perkins went on to host the program ""Wild Kingdom"".',
              ' Jim Wehmeyer has described the show: ""A precursor of sorts to the regularly featured animal segments on ""The Tonight Show"" and other late-night talk shows, ""Zoo Parade"" was a location-bound production (filmed in the reptile house basement) during which Perkins would present and describe the life and peculiarities of Lincoln Park Zoo animals.""'],
             dtype=object)                                                                                                                                                                                                                                                                                                                                                 ],
      dtype=object)}"
5a78bc6b554299148911f979,Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine,comparison,hard,"{'title': array([""Woman's Era"", 'Naj'], dtype=object), 'sent_id': array([0, 0], dtype=int32)}","{'title': array(['Lifestyle trends and media', 'Chin (deity)', 'Be Love',
       'Whit Burnett', 'Kathoey', 'Pornographic magazine', 'Naj',
       'Roller disco', 'Alternative press in Nigeria', ""Woman's Era""],
      dtype=object), 'sentences': array([array(['Lifestyle changes have been increasing slowly since the introduction of media.',
              ' Media – films, television shows, magazines, and more recently, the Internet (i.e. self-written blogs and popular websites) are the main sources of lifestyle influence around the world.',
              ' Lifestyle changes include how people eat, dress, and communicate.',
              ' Celebrity endorsements are prevalent.',
              ' Lifestyle trends have always been influenced by the wealthy and famous, whether they are spotted at leisure or in a paid advertisement.',
              ' At the dawn of the media age, the newspaper, popular magazines like ""Life"", and TV allowed the general public glimpse lifestyles that before were only available to the imagination.',
              ' After its creation, the Internet became arguably the most powerful medium for spotting and influencing trends, not just by celebrities but by the average person.',
              ' The computer era has changed the way people obtain their news, perspectives and communication.',
              ' Magazines are still popular, but advertisers now often supply a web address where consumers can visit for more information than a print ad can provide.',
              ' The average American household has two personal computers, making the Internet easily accessible.',
              "" The rise of user-generated content is exemplified by the fact that anyone with Internet access can create a blog or an online journal, whether personal or commercial, which might detail someone's experience in a new restaurant, a purchased item of clothing or knickknack, or a review to a film."",
              ' With the advent of the Android phone and its relative ease of uploading photos to social media sites such as Facebook, one can get an idea of how quickly an idea, pub review, or coveted object can be shared.',
              ' Advertisers have always been privy to the strength of word-of-mouth and have tapped into social media, including Facebook, Twitter, and Tumblr to make their wares known.',
              ' Douglas Kellner writes, ""Radio, television, film, and the other products of media culture provide materials out of which we forge our very identities; our sense of selfhood; our notion of what it means to be male or female; our sense of class, of ethnicity and race, of nationality, of sexuality; and of ""us"" and ""them.""""'],
             dtype=object)                                                                                                                                                                                                                                                                                                                          ,
       array(['In describing the customs of the Mayas inhabiting the Verapaz province (including the Alta Verapaz and Baja Verapaz) of 16th-century Guatemala, Bishop Bartolomé de las Casas mentions sexual relationships, regulated by customary law, between unmarried young men and boys, as well as similar relations prevailing among adolescents receiving instruction in the temples.',
              ' Chin, together with Cu, Cavil (\'idol\'), and Maran, is mentioned as the name of the male deity said to have demonstrated sexual intercourse with another \'demon\', and thereby to have introduced such relationships: ""From that time on some fathers gave their sons a little boy to be used as a woman; and if someone else took the boy, they demanded pay as is done when someone violates another\'s wife.""',
              ' Institutionalized pederastic prostitution, including transvestism, is recorded in 17th-century Spanish reports of the Itzá Mayas living in the Petén.',
              ' Among the Classic Period scenes found in a cave of Naj Tunich is a depiction of a naked, sexually excited male creature embracing a nude Maya nobleman, possibly by way of initiation.'],
             dtype=object)                                                                                                                                                                                                                                                                                                                                                                                                          ,
       array(['Be Love is a Japanese manga magazine targeting women published by Kodansha.',
              ' It debuted in September 1980.',
              ' It is one of the leading manga magazines for adult women, the first of its kind, and was instrumental in the rising popularity of josei manga in the 1980s, which led to the creation of other magazines targeted at women such as ""You"" and ""Big Comic for Lady"".',
              ' As of 2003, ""Be Love"", like ""You"" and ""Jour"", published stories focussing on ""the reality of everyday life"" experienced by its readers.'],
             dtype=object)                                                                                                                                                                                                                                                          ,
       array(['Whit Burnett (1900–1972) was an American writer and writing teacher who founded and edited the literary magazine ""Story"".',
              ' In the 1940s, ""Story"" was an important magazine in that it published the first or early works of many writers who went on to become major authors.',
              ' Not only did Burnett prove to be a valuable literary birddog for new talent, but ""Story"" remained a respectable though low-paying (typically $25 per story) alternative for stories rejected by the large-circulation slick magazines published on glossy paper like ""Collier\'s"" or ""The Saturday Evening Post"" or the somewhat more prestigious and literary slick magazines such as ""The New Yorker"".',
              ' While ""Story"" paid poorly compared to the slicks and even the pulps and successor digest-sized magazines of its day, it paid better than most of, and had similar cachet to, the university-based and the other independent ""little magazines"" of its era.'],
             dtype=object)                                                                                                                                                                                                                                                                                                                                                                                                ,
       array(['Kathoey or katoey (Thai: กะเทย ; rtgs:\xa0""Kathoei"" \xa0] ) is a transgender woman or an effeminate gay male in Thailand.',
              ' A significant number of Thais perceive ""kathoeys"" as belonging to a third gender, including many ""kathoeys"" themselves, while others see them as either a kind of man or a kind of woman.',
              ' However, when considering transgender women (MtF) as a group in Thai society, most refer to themselves as ""phuying"" (Thai: ผู้หญิง ""women""), with a minority referring to themselves as ""phuying praphet song"" (a ""second kind of woman"") and only very few referring to themselves as ""kathoey"".',
              ' Related phrases include ""phet thi sam"" (Thai: เพศที่สาม , ""third gender""), and ""sao praphet song"" or ""phu ying praphet song"" (Thai: สาวประเภทสอง, ผู้หญิงประเภทสอง — both meaning ""second-type female"").',
              ' The word ""kathoey"" is of Khmer origin.',
              ' It is most often rendered as ladyboy or lady boy in English conversation with Thais and this latter expression has become popular across Southeast Asia.'],
             dtype=object)                                                                                                                                                                                                                                                                                         ,
       array(['Pornographic magazines, or erotic magazines, sometimes known as adult, sex or top-shelf magazines, are magazines that contain content of an explicitly sexual nature.',
              ' Publications of this kind may contain images of attractive naked subjects, as is the case in softcore pornography, and, in the usual case of hardcore pornography, depictions of masturbation, oral or anal sex, or intercourse.'],
             dtype=object)                                                                                                                                                                                                                         ,
       array([""Naj is a Polish language fortnightly lifestyle and women's magazine published in Warsaw, Poland.""],
             dtype=object)                                                                                        ,
       array(['A roller disco is a discothèque or skating rink where all the dancers wear roller skates of some kind (traditional quad or inline).',
              ' The music played is modern and easily danceable, historically disco but in modern times including almost any form of dance, pop or rock music.',
              ' The concept originated as a fad in the 1970s when the disco craze was at its height, peaking around 1980 and inspiring several roller-disco magazines.',
              ' In 1984 the fad arrived in the United Kingdom and many roller discos popped up all over the country s of 2006 , the craze has largely discontinued, although many 1970s era roller-discos are still open and successful.',
              ' Also, it experienced a mild revival in the early 2000s, especially in the mid-eastern United States , where certain clubs continue to host roller disco nights.',
              ' Some now use in-line roller-blades.',
              ' Roller discos are also popular among older children and young teenagers, especially for parties.',
              ' As in other discos, special effects such as fog machines and flashing traffic lights are often used.',
              ' To minimise the risk of injury, the organisers of roller discos often only allow participants to skate in one direction at a time, so that they do not crash into one another, although many roller discos have a ""free skate"" section in the middle of the roller rink.'],
             dtype=object)                                                                                                                                                                                                                                                                 ,
       array(['The Alternative press in Nigeria or the press of the third kind is made up of writers who use militant approaches or viewpoints in news coverage.',
              ' This usually encompasses guerrilla journalism, a term credited to some Nigerian news magazines for their radical and militant rhetoric and writings usually against the military regimes of the 1990s.',
              "" The magazines consider themselves to be the last vestige of the common man and viewed certain military governments as usurpers of the people's dreams and yearnings."",
              ' These magazines are known for their belligerent assault on national leadership and use of secret offices, sometimes called bush offices to print their publications.',
              ' Some critics have raised ethnic nationalism and cultural coloration as key factors which provided the impetus for most of the rhetoric.'],
             dtype=object)                                                                                                                                                                                              ,
       array([""Woman's Era is a fortnightly women interest magazine published in English in India."",
              ' It was started in 1973 by Vishwanath under his publishing house, the Delhi Press.',
              ' The magazine is owned by the Delhi Press.',
              ' Divesh Nath has been the managing editor of the magazine since 2002.'],
             dtype=object)                                                                          ],
      dtype=object)}"
